Date_reported,Country_code,Country,WHO_region,New_hospitalizations_last_7days,New_icu_admissions_last_7days,New_hospitalizations_last_28days,New_icu_admissions_last_28days
2025-03-23,IND,India,SEAR,,,,
2025-03-23,IDN,Indonesia,SEAR,,,,
2025-03-23,XXL,International Commercial Vessel,OTHER,,,,
2025-03-23,XXF,International Conveyance (American Samoa),OTHER,,,,
2025-03-23,XXJ,International Conveyance (Diamond Princess),OTHER,,,,
2025-03-23,XXI,International Conveyance (Kiribati),OTHER,,,,
2025-03-23,XXG,International Conveyance (Solomon Islands),OTHER,,,,
2025-03-23,XXH,International Conveyance (Vanuatu),OTHER,,,,
2025-03-23,IRN,Iran (Islamic Republic Of),EMR,,,,
2025-03-23,IRQ,Iraq,EMR,,,,
2025-03-23,IRL,Ireland,EUR,41,,157,1
2025-03-23,IMN,Isle Of Man,EUR,,,,
2025-03-23,ISR,Israel,EUR,,,,
2025-03-23,ITA,Italy,EUR,55,1,340,24
2025-03-23,JAM,Jamaica,AMR,,,,
2025-03-23,JPN,Japan,WPR,,,,
2025-03-23,JEY,Jersey,EUR,,,,
2025-03-23,JOR,Jordan,EMR,,,,
2025-03-23,KAZ,Kazakhstan,EUR,,,,
2025-03-23,KEN,Kenya,AFR,,,,
2025-03-23,KIR,Kiribati,WPR,,,,
2025-03-23,XKX,Kosovo (In Accordance With Un Security Council Resolution 1244 (1999)),EUR,,,,
2025-03-23,KWT,Kuwait,EMR,,,,
2025-03-23,KGZ,Kyrgyzstan,EUR,,,,
2025-03-23,LAO,Lao People'S Democratic Republic,WPR,,,,
2025-03-23,LVA,Latvia,EUR,29,,121,
2025-03-23,LBN,Lebanon,EMR,,,,
2025-03-23,LSO,Lesotho,AFR,,,,
2025-03-23,LBR,Liberia,AFR,,,,
2025-03-23,LBY,Libya,EMR,,,,
2025-03-23,LIE,Liechtenstein,EUR,,,,
2025-03-23,LTU,Lithuania,EUR,11,1,55,5
2025-03-23,LUX,Luxembourg,EUR,,,,
2025-03-23,MDG,Madagascar,AFR,,,,
2025-03-23,MWI,Malawi,AFR,,,,
2025-03-23,MYS,Malaysia,WPR,,,,
2025-03-23,MDV,Maldives,SEAR,,,,
2025-03-23,MLI,Mali,AFR,,,,
2025-03-23,MLT,Malta,EUR,3,,10,
2025-03-23,MHL,Marshall Islands,WPR,,,,
2025-03-23,MTQ,Martinique,AMR,,,,
2025-03-23,MRT,Mauritania,AFR,0,0,0,0
2025-03-23,MUS,Mauritius,AFR,,,,
2025-03-23,MYT,Mayotte,AFR,,,,
2025-03-23,MEX,Mexico,AMR,,,,
2025-03-23,FSM,Micronesia (Federated States Of),WPR,,,,
2025-03-23,MCO,Monaco,EUR,,,,
2025-03-23,MNG,Mongolia,WPR,,,,
2025-03-23,MNE,Montenegro,EUR,,,,
2025-03-23,MSR,Montserrat,AMR,,,,
2025-03-23,MAR,Morocco,EMR,,,,
2025-03-23,MOZ,Mozambique,AFR,,,,
2025-03-23,MMR,Myanmar,SEAR,,,,
2025-03-23,NAM,Namibia,AFR,,,,
2025-03-23,NRU,Nauru,WPR,,,,
2025-03-23,NPL,Nepal,SEAR,,,,
2025-03-23,NLD,Netherlands,EUR,,,,
2025-03-23,NCL,New Caledonia,WPR,,,,
2025-03-23,NZL,New Zealand,WPR,61,4,273,12
2025-03-23,NIC,Nicaragua,AMR,,,,
2025-03-23,NER,Niger,AFR,,,,
2025-03-23,NGA,Nigeria,AFR,,,,
2025-03-23,NIU,Niue,WPR,,,,
2025-03-23,MKD,North Macedonia,EUR,,,0,
2025-03-23,MNP,Northern Mariana Islands (Commonwealth Of The),WPR,,,,
2025-03-23,NOR,Norway,EUR,,,,
2025-03-23,PSE,"Occupied Palestinian Territory, Including East Jerusalem",EMR,,,,
2025-03-23,OMN,Oman,EMR,,,,
2025-03-23,PAK,Pakistan,EMR,,,,
2025-03-23,PLW,Palau,WPR,,,,
2025-03-23,PAN,Panama,AMR,,,,
2025-03-23,PNG,Papua New Guinea,WPR,,,,
2025-03-23,PRY,Paraguay,AMR,,,,
2025-03-23,PER,Peru,AMR,,,,
2025-03-23,PHL,Philippines,WPR,,,,
2025-03-23,PCN,Pitcairn Islands,WPR,,,,
2025-03-23,POL,Poland,EUR,33,,144,
2025-03-23,PRT,Portugal,EUR,0,,4,
2025-03-23,PRI,Puerto Rico,AMR,,,,
2025-03-23,QAT,Qatar,EMR,,,,
2025-03-23,KOR,Republic Of Korea,WPR,,,,
2025-03-23,MDA,Republic Of Moldova,EUR,,,,
2025-03-23,REU,Réunion,AFR,,,,
2025-03-23,ROU,Romania,EUR,,,,
2025-03-23,RUS,Russian Federation,EUR,,,1599,
2025-03-23,RWA,Rwanda,AFR,,,,
2025-03-23,BLM,Saint Barthélemy,AMR,,,,
2025-03-23,SHN,Saint Helena,AFR,,,,
2025-03-23,KNA,Saint Kitts And Nevis,AMR,,,,
2025-03-23,LCA,Saint Lucia,AMR,0,0,0,0
2025-03-23,MAF,Saint Martin,AMR,,,,
2025-03-23,SPM,Saint Pierre And Miquelon,AMR,,,,
2025-03-23,VCT,Saint Vincent And The Grenadines,AMR,,,,
2025-03-23,WSM,Samoa,WPR,,,,
2025-03-23,SMR,San Marino,EUR,,,,
2025-03-23,STP,Sao Tome And Principe,AFR,,,,
2025-03-23,SAU,Saudi Arabia,EMR,,,,
2025-03-23,SEN,Senegal,AFR,,,,
2025-03-23,SRB,Serbia,EUR,,,,
2025-03-23,SYC,Seychelles,AFR,,,,
2025-03-23,SLE,Sierra Leone,AFR,,,,
2025-03-23,SGP,Singapore,WPR,52,1,183,5
2025-03-23,SXM,Sint Maarten,AMR,,,,
2025-03-23,SVK,Slovakia,EUR,1,1,8,1
2025-03-23,SVN,Slovenia,EUR,,,,
2025-03-23,SLB,Solomon Islands,WPR,,,,
2025-03-23,SOM,Somalia,EMR,,,,
2025-03-23,ZAF,South Africa,AFR,,,,
2025-03-23,SSD,South Sudan,AFR,,,,
2025-03-23,ESP,Spain,EUR,,,,
2025-03-23,LKA,Sri Lanka,SEAR,,,,
2025-03-23,SDN,Sudan,EMR,,,,
2025-03-23,SUR,Suriname,AMR,0,0,0,0
2025-03-23,SWE,Sweden,EUR,,2,,7
2025-03-23,CHE,Switzerland,EUR,,,,
2025-03-23,SYR,Syrian Arab Republic,EMR,,,,
2025-03-23,TJK,Tajikistan,EUR,,,,
2025-03-23,THA,Thailand,SEAR,,,,
2025-03-23,GBR,The United Kingdom,EUR,,,,
2025-03-23,TLS,Timor-Leste,SEAR,,,,
2025-03-23,TGO,Togo,AFR,,,,
2025-03-23,TKL,Tokelau,WPR,,,,
2025-03-23,TON,Tonga,WPR,,,,
2025-03-23,TTO,Trinidad And Tobago,AMR,,,,
2025-03-23,TUN,Tunisia,EMR,,,,
2025-03-23,TUR,Turkey,EUR,,,,
2025-03-23,TKM,Turkmenistan,EUR,,,,
2025-03-23,TCA,Turks And Caicos Islands,AMR,0,0,0,0
2025-03-23,TUV,Tuvalu,WPR,,,,
2025-03-23,UGA,Uganda,AFR,,,,
2025-03-23,UKR,Ukraine,EUR,1,0,1,0
2025-03-23,ARE,United Arab Emirates,EMR,,,,
2025-03-23,TZA,United Republic Of Tanzania,AFR,,,,
2025-03-23,USA,United States Of America,AMR,622,,2762,
2025-03-23,VIR,United States Virgin Islands,AMR,,,,
2025-03-23,URY,Uruguay,AMR,2,0,12,0
2025-03-23,UZB,Uzbekistan,EUR,,,,
2025-03-23,VUT,Vanuatu,WPR,,,,
2025-03-23,VEN,Venezuela (Bolivarian Republic Of),AMR,,,,
2025-03-23,VNM,Viet Nam,WPR,,,,
