Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
"China, Taiwan",TWN,WPR,,2025,2,15_64,
"China, Taiwan",TWN,WPR,,2025,2,0_4,
Christmas Island,CXR,WPR,,2025,1,0_4,
Christmas Island,CXR,WPR,,2025,2,0_4,
Christmas Island,CXR,WPR,,2025,1,65+,
Christmas Island,CXR,WPR,,2025,1,15_64,
Christmas Island,CXR,WPR,,2025,1,5_14,
Christmas Island,CXR,WPR,,2025,2,15_64,
Christmas Island,CXR,WPR,,2025,2,5_14,
Christmas Island,CXR,WPR,,2025,2,65+,
Clipperton Island,---,AMR,,2025,1,0_4,
Clipperton Island,---,AMR,,2025,2,15_64,
Clipperton Island,---,AMR,,2025,2,0_4,
Clipperton Island,---,AMR,,2025,2,5_14,
Clipperton Island,---,AMR,,2025,1,5_14,
Clipperton Island,---,AMR,,2025,2,65+,
Clipperton Island,---,AMR,,2025,1,15_64,
Clipperton Island,---,AMR,,2025,1,65+,
Cocos (Keeling) Islands,CCK,WPR,,2025,1,0_4,
Cocos (Keeling) Islands,CCK,WPR,,2025,2,0_4,
Cocos (Keeling) Islands,CCK,WPR,,2025,1,15_64,
Cocos (Keeling) Islands,CCK,WPR,,2025,2,15_64,
Cocos (Keeling) Islands,CCK,WPR,,2025,1,5_14,
Cocos (Keeling) Islands,CCK,WPR,,2025,1,65+,
Cocos (Keeling) Islands,CCK,WPR,,2025,2,5_14,
Cocos (Keeling) Islands,CCK,WPR,,2025,2,65+,
Colombia,COL,AMR,UMC,2025,1,0_4,0
Colombia,COL,AMR,UMC,2025,1,5_14,0
Colombia,COL,AMR,UMC,2025,1,65+,4
Colombia,COL,AMR,UMC,2025,2,0_4,0
Colombia,COL,AMR,UMC,2025,2,15_64,1
Colombia,COL,AMR,UMC,2025,2,65+,4
Colombia,COL,AMR,UMC,2025,1,15_64,2
Colombia,COL,AMR,UMC,2025,2,5_14,0
Comoros,COM,AFR,LMC,2025,1,65+,
Comoros,COM,AFR,LMC,2025,2,65+,
Comoros,COM,AFR,LMC,2025,1,5_14,
Comoros,COM,AFR,LMC,2025,2,0_4,
Comoros,COM,AFR,LMC,2025,2,5_14,
Comoros,COM,AFR,LMC,2025,1,0_4,
Comoros,COM,AFR,LMC,2025,1,15_64,
Comoros,COM,AFR,LMC,2025,2,15_64,
Congo,COG,AFR,LMC,2025,1,5_14,
Congo,COG,AFR,LMC,2025,1,0_4,
Congo,COG,AFR,LMC,2025,1,15_64,
Congo,COG,AFR,LMC,2025,2,0_4,
Congo,COG,AFR,LMC,2025,2,15_64,
Congo,COG,AFR,LMC,2025,2,5_14,
Congo,COG,AFR,LMC,2025,1,65+,
Congo,COG,AFR,LMC,2025,2,65+,
Cook Islands,COK,WPR,,2025,1,15_64,
Cook Islands,COK,WPR,,2025,2,15_64,
Cook Islands,COK,WPR,,2025,1,5_14,
Cook Islands,COK,WPR,,2025,2,0_4,
Cook Islands,COK,WPR,,2025,2,5_14,
Cook Islands,COK,WPR,,2025,1,0_4,
Cook Islands,COK,WPR,,2025,1,65+,
Cook Islands,COK,WPR,,2025,2,65+,
Costa Rica,CRI,AMR,UMC,2025,2,15_64,0
Costa Rica,CRI,AMR,UMC,2025,1,65+,0
Costa Rica,CRI,AMR,UMC,2025,2,5_14,0
Costa Rica,CRI,AMR,UMC,2025,2,65+,0
Costa Rica,CRI,AMR,UMC,2025,1,5_14,0
Costa Rica,CRI,AMR,UMC,2025,1,0_4,0
Costa Rica,CRI,AMR,UMC,2025,1,15_64,0
Costa Rica,CRI,AMR,UMC,2025,2,0_4,0
Côte d’Ivoire,CIV,AFR,LMC,2025,1,0_4,
Côte d’Ivoire,CIV,AFR,LMC,2025,1,65+,
Côte d’Ivoire,CIV,AFR,LMC,2025,2,0_4,
Côte d’Ivoire,CIV,AFR,LMC,2025,2,65+,
Côte d’Ivoire,CIV,AFR,LMC,2025,1,5_14,
Côte d’Ivoire,CIV,AFR,LMC,2025,2,5_14,
Côte d’Ivoire,CIV,AFR,LMC,2025,2,15_64,
Côte d’Ivoire,CIV,AFR,LMC,2025,1,15_64,
Croatia,HRV,EUR,HIC,2025,1,15_64,0
Croatia,HRV,EUR,HIC,2025,1,0_4,0
Croatia,HRV,EUR,HIC,2025,1,5_14,0
Croatia,HRV,EUR,HIC,2025,1,65+,0
Croatia,HRV,EUR,HIC,2025,2,0_4,0
Croatia,HRV,EUR,HIC,2025,2,65+,0
Croatia,HRV,EUR,HIC,2025,2,15_64,0
Croatia,HRV,EUR,HIC,2025,2,5_14,0
Cuba,CUB,AMR,UMC,2025,1,65+,
Cuba,CUB,AMR,UMC,2025,1,5_14,
Cuba,CUB,AMR,UMC,2025,2,5_14,
